topic,topic_name,top10,raw_factor,F,F_name
T0,브랜드앰버서더형(브랜드·광고·모델·앰버서더),브랜드 광고 모델 앰버서더 발탁 캠페인 글로벌 출연 2025년 2024년,브랜드·상업형(광고·앰버서더),F4,산업전이 경로
T1,음원차트기록형(기록·1위·앨범·발매),기록 1위 앨범 발매 데뷔 차트 최초 k팝 그룹 빌보드,차트·확산형(1위·빌보드·기록),F5,대중·글로벌 확산 경로
T2,단독콘서트투어형(콘서트·공연·단독·투어),콘서트 공연 보도 단독 매체 투어 티켓 서울 2025년 월드투어,현장경제형(콘서트·투어·매진),F3,현장경제 경로
T3,해외투어음반형(fan·japan·tour·album),fan japan tour concert sold album million group music official,소비력형(초동·판매·앨범),F2,직접소비 경로
T4,페스티벌무대형(무대·축제·페스티벌·대학축제),무대 2026년 함께 축제 페스티벌 화제 반응 영상 콘텐츠 대학축제,현장경제형(콘서트·투어·매진),F3,현장경제 경로
T5,예능영화출연형(출연·예능·영화·일본),출연 데뷔 예능 일본 2026년 활동 2025년 함께 영화 출연해,현장경제형(콘서트·투어·매진),F3,현장경제 경로
T6,팬클럽공식활동형(공식·팬클럽·홍보대사·팬덤),공식 팬클럽 활동 중국 팬덤 보도 홍보대사 팬들 라는 8월,현장경제형(콘서트·투어·매진),F3,현장경제 경로
T7,드라마OST기부형(ost·드라마·기부·수상),ost 드라마 기부 수상 2025년 팬클럽 지원 참여 원을 부문,결속형(팬클럽·기부·커뮤니티),F1,팬덤결속 경로
