topic,rank,word,phi,raw_weight
T2,42,8월,0.00245722,20.1294
T2,43,minutes,0.00245362,20.0999
T2,44,선보였,0.00239762,19.6411
T2,45,단독,0.00236724,19.3923
T2,46,velvet,0.00236107,19.3417
T2,47,2024년,0.00235143,19.2627
T2,48,youtube,0.00220948,18.0999
T2,49,소감,0.00220533,18.0659
T2,50,특집,0.00216012,17.6956
T3,1,공연,0.0202667,272.6866
T3,2,데뷔,0.0167065,224.7839
T3,3,콘서트,0.0157708,212.1946
T3,4,투어,0.013421,180.5784
T3,5,일본,0.0131375,176.7641
T3,6,2025년,0.011494,154.6508
T3,7,무대,0.0103087,138.7023
T3,8,도시,0.00878021,118.1367
T3,9,관객,0.00830937,111.8017
T3,10,서울,0.00713872,96.0506
T3,11,2026년,0.00711106,95.6785
T3,12,5월,0.00653709,87.9559
T3,13,축제,0.00613994,82.6122
T3,14,활동,0.00602294,81.0380
T3,15,단독,0.00530339,71.3566
T3,16,미국,0.00501023,67.4121
T3,17,아시아,0.00459794,61.8647
T3,18,맞아,0.00415014,55.8397
T3,19,최초,0.00410188,55.1904
T3,20,동원,0.00409516,55.1000
T3,21,반응,0.00407494,54.8279
T3,22,진행,0.00396473,53.3450
T3,23,전국,0.00382187,51.4228
T3,24,1월,0.0037925,51.0277
T3,25,2024년,0.00378532,50.9311
T3,26,한국,0.00361712,48.6679
T3,27,지역,0.00358472,48.2321
T3,28,12월,0.00353807,47.6044
T3,29,열린,0.00346546,46.6274
T3,30,10주년,0.00343996,46.2842
T3,31,재결합,0.00329654,44.3546
T3,32,명의,0.0032343,43.5171
T3,33,이상,0.00321991,43.3235
T3,34,함께,0.00317669,42.7421
T3,35,기념,0.0030509,41.0495
T3,36,8월,0.00272052,36.6043
T3,37,시작,0.00265361,35.7041
T3,38,수익,0.00260821,35.0932
T3,39,라이브,0.00259535,34.9202
T3,40,김재중,0.0025769,34.6720
T3,41,2017년,0.00257506,34.6471
T3,42,대학축제,0.00256775,34.5488
T3,43,월드투어,0.00255515,34.3792
T3,44,9월,0.00253451,34.1016
T3,45,2019년,0.00249821,33.6131
T3,46,전국투어,0.00248955,33.4967
T3,47,처음,0.00248717,33.4646
T3,48,20주년,0.00248339,33.4137
T3,49,싸이,0.0024681,33.2080
T3,50,북미,0.0024434,32.8757
T4,1,보도,0.0344502,629.7584
T4,2,콘서트,0.0318111,581.5164
T4,3,공연,0.0230805,421.9182
T4,4,매체,0.0183312,335.0999
T4,5,단독,0.0146361,267.5510
T4,6,티켓,0.0142812,261.0641
T4,7,팬들,0.0119399,218.2643
T4,8,태국,0.0111016,202.9395
T4,9,매진,0.0108368,198.0999
T4,10,소식,0.0100709,184.0988
T4,11,개최,0.00920777,168.3206
T4,12,인도네시아,0.00906677,165.7430
T4,13,월드투어,0.00868809,158.8207
T4,14,2025년,0.00806987,147.5194
T4,15,서울,0.00734848,134.3323
T4,16,전석,0.00724649,132.4679
T4,17,브라질,0.00722637,132.1000
T4,18,필리핀,0.00717166,131.0999
T4,19,현지,0.00699375,127.8477
T4,20,2026년,0.00697484,127.5019
T4,21,데뷔,0.00616416,112.6826
T4,22,자카르타,0.00596068,108.9629
T4,23,투어,0.00588731,107.6216
T4,24,팬미팅,0.00583556,106.6757
T4,25,일본,0.00578219,105.7001
T4,26,기사,0.00564606,103.2115
T4,27,팬덤,0.00526194,96.1897
T4,28,베트남,0.00520233,95.0999
T4,29,오픈,0.00509292,93.1000
T4,30,대만,0.00493566,90.2252
T4,31,2024년,0.00466076,85.2001
T4,32,마닐라,0.00436368,79.7693
T4,33,멤버,0.00422664,77.2642
T4,34,무대,0.00403876,73.8297
T4,35,방콕,0.00394414,72.1000
T4,36,pop,0.00374631,68.4836
T4,37,예매,0.00356121,65.1000
T4,38,홍콩,0.00353285,64.5814
T4,39,2023년,0.00345232,63.1094
T4,40,tour,0.00323997,59.2276
T4,41,소개,0.00319292,58.3675
T4,42,만의,0.00307616,56.2330
T4,43,기념,0.00299263,54.7062
T4,44,k팝,0.00278385,50.8895
T4,45,컴백,0.00277177,50.6688
T4,46,함께,0.00264635,48.3760
T4,47,전했,0.00264503,48.3519
T4,48,bts,0.00260941,47.7007
T4,49,9월,0.0025745,47.0627
T4,50,보여준,0.00256348,46.8611
T5,1,브랜드,0.0477807,437.1000
T5,2,모델,0.0273392,250.1000
T5,3,광고,0.0258088,236.0999
T5,4,앰버서더,0.0252622,231.1000
T5,5,발탁,0.0218735,200.1000
T5,6,캠페인,0.0191407,175.0999
T5,7,글로벌,0.0174184,159.3438
T5,8,2025년,0.0144626,132.3042
T5,9,8월,0.00970445,88.7767
T5,10,2024년,0.0081511,74.5666
T5,11,2026년,0.00708879,64.8486
T5,12,2023년,0.00669062,61.2061
T5,13,보도,0.00575588,52.6550
T5,14,발탁해,0.00547658,50.1000
T5,15,광고모델,0.00525795,48.1000
T5,16,계약,0.00515997,47.2036
T5,17,진행,0.00512711,46.9030
T5,18,가수,0.0050539,46.2333
T5,19,공개,0.0047273,43.2455
T5,20,협업,0.00466295,42.6568
T5,21,활동,0.00466038,42.6333
T5,22,신규,0.00443137,40.5384
T5,23,뷰티,0.00416482,38.1000
T5,24,2022년,0.00400322,36.6216
T5,25,3월,0.00399853,36.5787
T5,26,브랜드평판,0.0039462,36.1000
T5,27,패션,0.00372757,34.1000
T5,28,9월,0.00358458,32.7918
T5,29,일본,0.00355216,32.4953
T5,30,mexico,0.0035282,32.2762
T5,31,4월,0.00335417,30.6841
T5,32,멤버,0.00333672,30.5245
T5,33,시장,0.0032338,29.5829
T5,34,피해,0.00322771,29.5272
T5,35,7월,0.00307599,28.1393
T5,36,10월,0.00306286,28.0191
T5,37,새로운,0.00297934,27.2551
T5,38,공식,0.00281653,25.7658
T5,39,화보,0.00278249,25.4543
T5,40,2021년,0.00277056,25.3452
T5,41,전속,0.00274376,25.1000
T5,42,명품,0.00263444,24.1000
T5,43,사례,0.00261679,23.9385
T5,44,다수,0.00259898,23.7756
T5,45,선정,0.00259131,23.7054
T5,46,루이비통,0.00252513,23.1000
T5,47,최초,0.00250566,22.9219
T5,48,올랐,0.00249336,22.8094
T5,49,스타뉴스,0.00246258,22.5278
T5,50,6월,0.0024492,22.4054
T6,1,fan,0.0185491,254.0999
T6,2,tour,0.0156569,214.4808
T6,3,concert,0.0155561,213.0999
T6,4,sold,0.0146801,201.1000
T6,5,japan,0.0142706,195.4900
T6,6,million,0.0126362,173.1000
T6,7,album,0.0120522,165.1000
T6,8,music,0.0117902,161.5119
T6,9,group,0.0110302,151.1000
T6,10,chart,0.00986219,135.1000
T6,11,debut,0.0092052,126.1000
T6,12,pop,0.00914301,125.2481
T6,13,world,0.00896765,122.8459
T6,14,official,0.00895292,122.6441
T6,15,korea,0.00874819,119.8396
T6,16,copies,0.00832921,114.1000
T6,17,korean,0.00789121,108.1000
T6,18,club,0.00730721,100.0999
T6,19,seoul,0.0072431,99.2217
T6,20,brand,0.00687046,94.1169
T6,21,japanese,0.00657723,90.1000
T6,22,awards,0.00636185,87.1496
T6,23,won,0.00577423,79.1000
T6,24,anniversary,0.00570124,78.1000
T6,25,solo,0.00548224,75.1000
T6,26,global,0.00548224,75.1000
T6,27,fans,0.00545458,74.7211
T6,28,show,0.00534256,73.1866
T6,29,ambassador,0.00533624,73.1000
T6,30,best,0.00508039,69.5951
T6,31,billboard,0.00504424,69.0999
T6,32,news,0.00497124,68.0999
T6,33,artist,0.00482525,66.1000
T6,34,years,0.00475225,65.1000
T6,35,year,0.00438725,60.1000
T6,36,single,0.00423554,58.0217
T6,37,song,0.00413177,56.6002
T6,38,top,0.00408222,55.9214
