topic,topic_name,top10,raw_factor,F,F_name
T0,콘서트·공연·서울·단독형,콘서트 공연 서울 단독 티켓 2025년 2026년 매진 데뷔 투어,현장경제형(콘서트·투어·매진),F3,현장경제 경로
T1,일본·수상·기사·홍보대사형,일본 수상 기사 홍보대사 소개 보도 확인 위촉 매체 아랍어,현장경제형(콘서트·투어·매진),F3,현장경제 경로
T2,출연·예능·활동·2026년형,출연 예능 활동 2026년 함께 멤버 출연해 무대 mbc 콘텐츠,미디어노출형(방송·조회수),F4,산업전이 경로
T3,브랜드·모델·광고·앰버서더형,브랜드 모델 광고 앰버서더 발탁 ost 캠페인 글로벌 드라마 2025년,미디어노출형(방송·조회수),F4,산업전이 경로
T4,기록·1위·앨범·발매형,기록 1위 앨범 발매 데뷔 차트 싱글 빌보드 판매 이상,차트·확산형(1위·빌보드·기록),F5,대중·글로벌 확산 경로
T5,팬클럽·공식·tour·기부형,팬클럽 공식 tour 기부 concert fan 팬덤 world japan 원을,결속형(팬클럽·기부·커뮤니티),F1,팬덤결속 경로
T6,보도·매체·공연·팬들형,보도 매체 공연 팬들 태국 2026년 대만 소식 콘서트 데뷔,현장경제형(콘서트·투어·매진),F3,현장경제 경로
T7,million·album·music·group형,million album music group pop chart japan sold korea debut,소비력형(초동·판매·앨범),F2,직접소비 경로
