topic,T0,T1,T2,T3,T4,T5,T6,T7,label
T0,0.000000,0.981024,0.777097,0.788202,0.687622,0.909458,0.761658,0.907579,T0(수상·티켓·만에·콘서트)
T1,0.981024,0.000000,0.966865,0.972481,0.990805,0.965552,0.947922,0.990879,T1(ost·fan·japan·sold)
T2,0.777097,0.966865,0.000000,0.567006,0.634785,0.652443,0.783977,0.754709,T2(일본·보도·데뷔·최초)
T3,0.788202,0.972481,0.567006,0.000000,0.651386,0.854130,0.927579,0.876600,T3(보도·매체·공연·일본)
T4,0.687622,0.990805,0.634785,0.651386,0.000000,0.759495,0.894858,0.756945,T4(콘서트·2025년·공식·팬클럽)
T5,0.909458,0.965552,0.652443,0.854130,0.759495,0.000000,0.947777,0.760384,T5(출연·예능·무대·에서)
T6,0.761658,0.947922,0.783977,0.927579,0.894858,0.947777,0.000000,0.933667,T6(1위·기록·앨범·차트)
T7,0.907579,0.990879,0.754709,0.876600,0.756945,0.760384,0.933667,0.000000,T7(브랜드·광고·모델·앰버서더)
