doc_id,fandom,bullet_type,idx_in_fandom_array,n_tokens
156,지드래곤 (G-Dragon),spillover,2,19
157,지드래곤 (G-Dragon),spillover,3,14
158,지드래곤 (G-Dragon),spillover,4,24
159,지드래곤 (G-Dragon),spillover,5,12
160,지드래곤 (G-Dragon),spillover,6,20
161,지드래곤 (G-Dragon),spillover,7,11
162,지드래곤 (G-Dragon),spillover,8,17
163,지드래곤 (G-Dragon),spillover,9,11
164,지드래곤 (G-Dragon),spillover,10,10
165,지드래곤 (G-Dragon),spillover,11,16
166,지드래곤 (G-Dragon),spillover,12,20
167,지드래곤 (G-Dragon),spillover,13,22
168,지드래곤 (G-Dragon),spillover,14,19
169,지드래곤 (G-Dragon),spillover,15,12
170,지드래곤 (G-Dragon),spillover,16,15
171,지드래곤 (G-Dragon),spillover,17,19
172,지드래곤 (G-Dragon),spillover,18,28
173,지드래곤 (G-Dragon),spillover,19,22
174,지드래곤 (G-Dragon),spillover,20,7
175,지드래곤 (G-Dragon),spillover,21,10
176,지드래곤 (G-Dragon),spillover,22,6
177,지드래곤 (G-Dragon),spillover,23,10
178,지드래곤 (G-Dragon),spillover,24,9
179,지드래곤 (G-Dragon),spillover,25,5
180,지드래곤 (G-Dragon),spillover,26,6
181,지드래곤 (G-Dragon),spillover,27,16
182,지드래곤 (G-Dragon),spillover,28,15
183,지드래곤 (G-Dragon),spillover,29,15
184,지드래곤 (G-Dragon),spillover,30,9
185,지드래곤 (G-Dragon),spillover,31,12
186,지드래곤 (G-Dragon),spillover,32,14
187,지드래곤 (G-Dragon),spillover,33,9
188,지드래곤 (G-Dragon),spillover,34,9
189,지드래곤 (G-Dragon),spillover,35,24
190,지드래곤 (G-Dragon),spillover,36,39
191,지드래곤 (G-Dragon),spillover,37,20
192,지드래곤 (G-Dragon),spillover,38,24
193,지드래곤 (G-Dragon),spillover,39,33
194,지드래곤 (G-Dragon),spillover,40,45
195,지드래곤 (G-Dragon),spillover,41,26
196,지드래곤 (G-Dragon),spillover,42,16
197,지드래곤 (G-Dragon),spillover,43,19
198,지드래곤 (G-Dragon),spillover,44,23
199,지드래곤 (G-Dragon),spillover,45,25
200,지드래곤 (G-Dragon),spillover,46,13
201,지드래곤 (G-Dragon),spillover,47,15
202,지드래곤 (G-Dragon),spillover,48,20
203,지드래곤 (G-Dragon),spillover,49,7
204,지드래곤 (G-Dragon),spillover,50,14
205,지드래곤 (G-Dragon),spillover,51,8
206,지드래곤 (G-Dragon),spillover,52,10
207,지드래곤 (G-Dragon),spillover,53,14
208,지드래곤 (G-Dragon),spillover,54,20
209,지드래곤 (G-Dragon),spillover,55,21
210,지드래곤 (G-Dragon),spillover,56,8
211,지드래곤 (G-Dragon),spillover,57,11
212,지드래곤 (G-Dragon),spillover,58,21
213,지드래곤 (G-Dragon),spillover,59,23
214,지드래곤 (G-Dragon),spillover,60,23
215,지드래곤 (G-Dragon),spillover,61,22
216,지드래곤 (G-Dragon),spillover,62,24
217,지드래곤 (G-Dragon),spillover,63,57
218,지드래곤 (G-Dragon),spillover,64,23
219,지드래곤 (G-Dragon),spillover,65,22
220,지드래곤 (G-Dragon),spillover,66,25
221,지드래곤 (G-Dragon),spillover,67,19
222,지드래곤 (G-Dragon),spillover,68,29
223,지드래곤 (G-Dragon),spillover,69,28
224,지드래곤 (G-Dragon),spillover,70,38
225,지드래곤 (G-Dragon),spillover,71,10
226,지드래곤 (G-Dragon),spillover,72,10
227,지드래곤 (G-Dragon),spillover,73,11
228,지드래곤 (G-Dragon),spillover,74,12
229,지드래곤 (G-Dragon),spillover,75,14
230,지드래곤 (G-Dragon),spillover,76,33
231,지드래곤 (G-Dragon),spillover,77,29
232,지드래곤 (G-Dragon),spillover,78,25
233,지드래곤 (G-Dragon),spillover,79,15
234,지드래곤 (G-Dragon),spillover,80,24
235,지드래곤 (G-Dragon),spillover,81,23
236,지드래곤 (G-Dragon),spillover,82,18
237,지드래곤 (G-Dragon),spillover,83,18
238,지드래곤 (G-Dragon),spillover,84,32
239,지드래곤 (G-Dragon),spillover,85,15
240,지코,loyalty,0,11
241,지코,loyalty,1,9
242,지코,loyalty,2,14
243,지코,loyalty,3,12
244,지코,loyalty,4,14
245,지코,loyalty,5,12
246,지코,loyalty,6,20
247,지코,loyalty,7,11
248,지코,loyalty,8,9
249,지코,loyalty,9,14
250,지코,loyalty,10,36
251,지코,loyalty,11,24
252,지코,loyalty,12,17
253,지코,loyalty,13,21
254,지코,loyalty,14,9
255,지코,loyalty,15,15
256,지코,loyalty,16,9
257,지코,loyalty,17,9
258,지코,loyalty,18,13
259,지코,loyalty,19,9
260,지코,loyalty,20,10
261,지코,loyalty,21,14
262,지코,loyalty,22,5
263,지코,loyalty,23,11
264,지코,loyalty,24,15
265,지코,loyalty,25,17
266,지코,loyalty,26,15
267,지코,loyalty,27,15
268,지코,spillover,0,17
269,지코,spillover,1,11
270,지코,spillover,2,14
271,지코,spillover,3,19
272,지코,spillover,4,19
273,지코,spillover,5,18
274,지코,spillover,6,10
275,지코,spillover,7,19
276,지코,spillover,8,18
277,지코,spillover,9,17
278,지코,spillover,10,20
279,지코,spillover,11,16
280,지코,spillover,12,12
281,지코,spillover,13,30
282,지코,spillover,14,12
283,지코,spillover,15,9
284,지코,spillover,16,11
285,지코,spillover,17,10
286,지코,spillover,18,13
287,지코,spillover,19,11
288,지코,spillover,20,5
289,지코,spillover,21,7
290,지코,spillover,22,10
291,지코,spillover,23,12
292,지코,spillover,24,15
293,지코,spillover,25,16
294,지코,spillover,26,30
295,지코,spillover,27,28
296,지코,spillover,28,34
297,지코,spillover,29,17
298,지코,spillover,30,25
299,지코,spillover,31,33
300,지코,spillover,32,25
301,지코,spillover,33,40
302,지코,spillover,34,17
303,지코,spillover,35,8
304,지코,spillover,36,9
305,지코,spillover,37,8
306,지코,spillover,38,14
307,지코,spillover,39,5
308,지코,spillover,40,15
309,지코,spillover,41,12
310,지코,spillover,42,15
311,지코,spillover,43,8
312,지코,spillover,44,12
313,지코,spillover,45,9
314,지코,spillover,46,24
315,지코,spillover,47,25
316,지코,spillover,48,17
317,지코,spillover,49,17
318,지코,spillover,50,27
319,지코,spillover,51,30
320,지코,spillover,52,11
321,지코,spillover,53,12
322,지코,spillover,54,9
323,지코,spillover,55,12
324,지코,spillover,56,19
325,지코,spillover,57,14
326,지코,spillover,58,12
327,지코,spillover,59,15
328,지코,spillover,60,28
329,지코,spillover,61,31
330,지코,spillover,62,29
331,지코,spillover,63,26
332,지코,spillover,64,21
