팬덤,구분,근거문장수,뉴스매체문장수,뉴스매체비중,고유매체수,매체다양성비율,상위매체1,상위매체2,상위매체3
나훈아,트로트,70,47,0.6714,23,0.4894,ilyo.co.kr,hankyung.com,v.daum.net
잔나비,록,69,33,0.4783,23,0.697,v.daum.net,hankyung.com,idntimes.com
sg워너비,발라드,75,28,0.3733,22,0.7857,sports.khan.co.kr,rnx.kr,gukjenews.com
김연자,트로트,73,41,0.5616,21,0.5122,v.daum.net,grokipedia.com,min-on.or.jp
이문세,발라드,70,31,0.4429,21,0.6774,hankookilbo.com,kbswa.com,soompi.com
카더가든,솔로,74,34,0.4595,21,0.6176,v.daum.net,isplus.com,news.nate.com
박정현,발라드,70,25,0.3571,20,0.8,web.archive.org,v.daum.net,starnewskorea.com
브라운아이즈,발라드,82,33,0.4024,20,0.6061,v.daum.net,soompi.com,sedaily.com
엄정화,솔로,71,34,0.4789,20,0.5882,v.daum.net,pinkvilla.com,marieclairekorea.com
빅마마,발라드,73,14,0.1918,11,0.7857,xportsnews.com,hankyung.com,news.sbs.co.kr
